PersonalSpending,ProsocialSpending,GeneralHappiness,PersonalIncome
1820,90,yes,50001-65000
1820,90,most of the time,80001andup
1900,35,yes,20001-35000
1300,650,yes,65001-80000
1630,330,most of the time,50001-65000
1900,75,yes,35001-50000
1942,35,most of the time,35001-50000
2000,0,most of the time,20001-35000
1500,500,yes,35001-50000
1810,190,most of the time,50001-65000
2000,20,most of the time,35001-50000
1900,120,yes,35001-50000
2010,20,most of the time,less20000
2015,15,most of the time,50001-65000
520,1515,yes,less20000
2010,30,rarely,50001-65000
2025,20,most of the time,65001-80000
2020,30,most of the time,less20000
1900,150,most of the time,50001-65000
2010,45,sometimes,80001andup
2000,70,yes,50001-65000
2010,70,most of the time,35001-50000
2010,75,most of the time,65001-80000
2050,40,sometimes,20001-35000
2015,75,yes,80001andup
2078,20,most of the time,less20000
2025,100,sometimes,50001-65000
2100,25,yes,50001-65000
2050,75,most of the time,65001-80000
2100,25,yes,65001-80000
2130,10,yes,35001-50000
2025,125,most of the time,35001-50000
2010,150,most of the time,50001-65000
2020,140,yes,80001andup
2100,65,yes,20001-35000
2000,200,rarely,20001-35000
2100,110,yes,80001andup
2100,120,most of the time,65001-80000
2100,120,yes,80001andup
2099,124,most of the time,65001-80000
1510,720,most of the time,80001andup
2100,160,yes,35001-50000
2110,150,most of the time,65001-80000
2100,200,yes,35001-50000
2050,250,most of the time,65001-80000
2000,300,most of the time,80001andup
2300,20,yes,65001-80000
2200,120,most of the time,65001-80000
2310,15,yes,20001-35000
2100,230,most of the time,65001-80000
2250,120,most of the time,50001-65000
2030,350,most of the time,65001-80000
2100,300,most of the time,65001-80000
2010,410,yes,35001-50000
2300,125,most of the time,35001-50000
2250,175,yes,65001-80000
2420,20,most of the time,80001andup
2050,400,most of the time,35001-50000
2300,150,most of the time,50001-65000
2100,350,yes,80001andup
2000,450,most of the time,80001andup
2020,450,yes,80001andup
2450,25,most of the time,65001-80000
2300,200,yes,50001-65000
2500,0,most of the time,50001-65000
2160,350,most of the time,35001-50000
2500,20,most of the time,65001-80000
2501,20,most of the time,50001-65000
2525,10,most of the time,80001andup
2500,50,sometimes,80001andup
2200,350,sometimes,80001andup
2520,40,most of the time,50001-65000
2520,40,yes,80001andup
2500,75,most of the time,50001-65000
2550,45,most of the time,50001-65000
2500,100,most of the time,65001-80000
2550,60,most of the time,65001-80000
2500,125,most of the time,50001-65000
2550,80,most of the time,65001-80000
2050,600,yes,80001andup
2510,150,sometimes,80001andup
2550,150,most of the time,65001-80000
2550,150,yes,80001andup
2600,150,most of the time,80001andup
2200,600,yes,65001-80000
2200,600,most of the time,80001andup
2550,300,most of the time,20001-35000
2400,450,yes,65001-80000
2750,100,most of the time,80001andup
2810,45,most of the time,65001-80000
3000,0,yes,50001-65000
2600,400,yes,65001-80000
3000,0,yes,80001andup
3000,0,yes,80001andup
3000,25,most of the time,35001-50000
3000,25,most of the time,65001-80000
3030,1,sometimes,80001andup
2700,340,sometimes,65001-80000
3000,40,sometimes,80001andup
3000,45,sometimes,50001-65000
3000,55,most of the time,50001-65000
